"","sigma_s","rew_multi","sigma","rho","reward"
"1",0.3,5,0.1,0.1,21864.9674284337
"2",0.3,5,0.2,0.1,20512.8961143606
"3",0.3,5,0.3,0.1,18839.4683014712
"4",0.3,5,0.4,0.1,17154.8208425264
"5",0.3,5,0.5,0.1,15810.7160669497
"6",0.3,5,0.6,0.1,14848.4342718146
"7",0.3,5,0.7,0.1,14174.4246157335
"8",0.3,5,0.8,0.1,13696.7074509643
"9",0.3,5,0.9,0.1,13350.5103991703
"10",0.3,5,1,0.1,13093.54812656
"11",0.3,5,1.1,0.1,12898.4497445231
"12",0.3,5,1.2,0.1,12747.2546406746
"13",0.3,5,1.3,0.1,12627.9278327182
"14",0.3,5,1.4,0.1,12532.2207261544
"15",0.3,5,1.5,0.1,12454.3539328091
"16",0.3,5,1.6,0.1,12390.1936980955
"17",0.3,5,1.7,0.1,12336.726657695
"18",0.3,5,1.8,0.1,12291.7177754596
"19",0.3,5,1.9,0.1,12253.4829473576
"20",0.3,5,2,0.1,12220.7348432288
"21",0.3,5,0.1,0.2,21907.9045130694
"22",0.3,5,0.2,0.2,20633.8064445195
"23",0.3,5,0.3,0.2,19050.7988749056
"24",0.3,5,0.4,0.2,17452.2017845807
"25",0.3,5,0.5,0.2,16171.3502913705
"26",0.3,5,0.6,0.2,15249.734053238
"27",0.3,5,0.7,0.2,14601.1498881921
"28",0.3,5,0.8,0.2,14139.6367743676
"29",0.3,5,0.9,0.2,13804.1316969638
"30",0.3,5,1,0.2,13554.4917793936
"31",0.3,5,1.1,0.2,13364.5859622596
"32",0.3,5,1.2,0.2,13217.1892702461
"33",0.3,5,1.3,0.2,13100.717452996
"34",0.3,5,1.4,0.2,13007.2073493482
"35",0.3,5,1.5,0.2,12931.0660914374
"36",0.3,5,1.6,0.2,12868.285383667
"37",0.3,5,1.7,0.2,12815.938491019
"38",0.3,5,1.8,0.2,12771.8516250112
"39",0.3,5,1.9,0.2,12734.3849141403
"40",0.3,5,2,0.2,12702.2835889343
"41",0.3,5,0.1,0.3,21943.333571509
"42",0.3,5,0.2,0.3,20736.2767666681
"43",0.3,5,0.3,0.3,19232.2511149819
"44",0.3,5,0.4,0.3,17712.3382300858
"45",0.3,5,0.5,0.3,16494.1730026813
"46",0.3,5,0.6,0.3,15616.0930181493
"47",0.3,5,0.7,0.3,14996.4845183371
"48",0.3,5,0.8,0.3,14554.382704999
"49",0.3,5,0.9,0.3,14232.2142440154
"50",0.3,5,1,0.3,13992.0165366852
"51",0.3,5,1.1,0.3,13808.9941648459
"52",0.3,5,1.2,0.3,13666.7508217876
"53",0.3,5,1.3,0.3,13554.2289546979
"54",0.3,5,1.4,0.3,13463.8094421199
"55",0.3,5,1.5,0.3,13390.1303132711
"56",0.3,5,1.6,0.3,13329.3422347258
"57",0.3,5,1.7,0.3,13278.6305016552
"58",0.3,5,1.8,0.3,13235.9019773997
"59",0.3,5,1.9,0.3,13199.5759806256
"60",0.3,5,2,0.3,13168.4419431908
"61",0.3,5,0.1,0.4,21971.5642859897
"62",0.3,5,0.2,0.4,20820.9982452165
"63",0.3,5,0.3,0.4,19384.6190190218
"64",0.3,5,0.4,0.4,17935.8121059003
"65",0.3,5,0.5,0.4,16778.9998825644
"66",0.3,5,0.6,0.4,15946.3360931577
"67",0.3,5,0.7,0.4,15358.3620884221
"68",0.3,5,0.8,0.4,14938.1781951493
"69",0.3,5,0.9,0.4,14631.4634295672
"70",0.3,5,1,0.4,14402.4327400866
