"","sigma","omega.1","omega.2","omega.3","rho","lp__","subjid"
"1",0.230369294788766,0.866880996059872,0.0447824322131392,0.088336571726989,0.288210751807301,-9393.59599658856,2077
"2",0.244573928334247,0.876395343979882,0.0471253301496155,0.0764793258705023,0.304683689459492,-9393.41221341525,2077
"3",0.24064968943402,0.874100718938695,0.0467271277648775,0.0791721532964274,0.253963333851355,-9393.30898354611,2077
"4",0.228674247091703,0.865858451125388,0.0497231038757553,0.0844184449988564,0.335762561374137,-9393.1090185156,2077
"5",0.235060144764263,0.880354235028542,0.0454380199862092,0.0742077449852487,0.32913630439863,-9394.25703001997,2077
"6",0.230667800888008,0.869964480151025,0.0475010402369416,0.082534479612033,0.271933470928739,-9392.14410515646,2077
"7",0.229014780668888,0.874291031669709,0.0457267797616687,0.0799821885686223,0.301031548630277,-9392.27755399039,2077
"8",0.233871217974489,0.874302990274983,0.0457256027083609,0.0799714070166564,0.31847973130629,-9391.50194392609,2077
"9",0.241485331967531,0.86239960346305,0.0491926801267983,0.0884077164101513,0.313192150744341,-9397.06898673497,2077
"10",0.230756772667719,0.874958996534468,0.0458970400175918,0.0791439634479404,0.311922240206881,-9391.98224595455,2077
"11",0.236798798481994,0.869437807524669,0.0517016826890226,0.0788605097863079,0.311816774164977,-9394.49784779227,2077
"12",0.247548828140773,0.871249040629089,0.045680735784205,0.0830702235867059,0.290461810994909,-9395.25295279888,2077
"13",0.228847295838342,0.868551409581312,0.0435923835162134,0.0878562069024744,0.304617586139744,-9394.44464689914,2077
"14",0.235252098253731,0.874199025405061,0.0483363306091511,0.0774646439857876,0.34152459022693,-9394.15975506435,2077
"15",0.232644032724212,0.876887577978753,0.0444383200920056,0.0786741019292412,0.295057715360925,-9392.00380428846,2077
"16",0.239821891688946,0.878257497775715,0.0459506057019968,0.0757918965222881,0.275237739086305,-9392.16597318884,2077
"17",0.249237675274503,0.882256196679393,0.0403916248171873,0.0773521785034202,0.277739173472318,-9395.35447301244,2077
"18",0.239176245443459,0.873764079873345,0.0428336186902195,0.0834023014364352,0.285901141456584,-9392.67388106357,2077
"19",0.24070067476037,0.87420254770345,0.0411527848181387,0.0846446674784116,0.289127720971802,-9394.78861490593,2077
"20",0.252071413874991,0.883653262902213,0.0446223911953122,0.0717243459024743,0.333931949779014,-9399.9230719189,2077
"21",0.239701641255559,0.884213085891535,0.0406192611032484,0.075167653005217,0.295333909829537,-9394.48488180917,2077
"22",0.245590396795486,0.880500980307053,0.0424769534309867,0.0770220662619605,0.274271387244293,-9393.17658818502,2077
"23",0.239516197922568,0.878460092515588,0.0449155696991783,0.076624337785234,0.301285248045007,-9391.5950491957,2077
"24",0.245712820566172,0.881146049649964,0.0439931247012766,0.0748608256487591,0.301585743582071,-9393.1760992682,2077
"25",0.242056446215524,0.877038480852917,0.0458216887354701,0.0771398304116131,0.261407795281796,-9392.84286860397,2077
"26",0.241512082467449,0.870622655919589,0.0477824626038042,0.081594881476607,0.273521929897487,-9392.82035644291,2077
"27",0.236234223000234,0.873548606125228,0.0460542224062621,0.0803971714685103,0.316273761697019,-9391.30078751964,2077
"28",0.243472980470361,0.87012339112822,0.0465209064431221,0.0833557024286578,0.307314518091278,-9393.69632227405,2077
"29",0.242726723787482,0.887902031607102,0.0427193011054353,0.0693786672874631,0.279565959755581,-9395.98784926864,2077
"30",0.229801377685473,0.87226028152217,0.0466086515009127,0.0811310669769177,0.334258669851975,-9392.7045967617,2077
"31",0.241498910666954,0.878056077296803,0.0438695840978496,0.0780743386053478,0.302593637182882,-9391.81146050972,2077
"32",0.234467972814985,0.872827759112427,0.0480364739558231,0.0791357669317502,0.299799973288333,-9391.26836858635,2077
